Latitude,Longitude,Inventory_Level,Temperature,Humidity,Waiting_Time,User_Transaction_Amount,User_Purchase_Frequency,Asset_Utilization,Demand_Forecast,Logistics_Delay,Year,Month,Day,Hour,Day_of_Week,Asset_ID_Truck_10,Asset_ID_Truck_2,Asset_ID_Truck_3,Asset_ID_Truck_4,Asset_ID_Truck_5,Asset_ID_Truck_6,Asset_ID_Truck_7,Asset_ID_Truck_8,Asset_ID_Truck_9,Shipment_Status_Delivered,Shipment_Status_In Transit,Traffic_Status_Detour,Traffic_Status_Heavy,Logistics_Delay_Reason_Traffic,Logistics_Delay_Reason_Weather
-65.7383,11.2497,390,27.0,67.8,38,320,4,60.1,285,1,2024,3,20,0,2,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True
22.2748,-131.7086,491,22.5,54.3,16,439,7,80.9,174,1,2024,10,30,7,2,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True
54.9232,79.5455,190,25.2,62.2,34,355,3,99.2,260,0,2024,7,29,18,0,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True
42.39,-1.4788,330,25.4,52.3,37,227,5,97.4,160,1,2024,10,28,0,0,False,False,False,False,False,False,False,False,True,True,False,False,True,True,False
-65.8477,47.9468,480,20.5,57.2,56,197,6,71.6,270,1,2024,9,27,15,4,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
73.3312,46.5831,118,24.3,61.8,56,258,10,66.8,189,0,2024,9,17,6,1,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True
27.9307,147.5317,480,20.7,75.4,32,263,3,73.3,198,1,2024,2,5,8,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
46.5643,-126.5348,222,23.3,64.2,30,459,9,73.8,253,0,2024,9,28,9,5,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False
-83.6737,-31.7125,245,26.4,77.2,14,183,2,69.6,206,0,2024,1,18,8,3,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True
54.1683,-135.2676,389,21.9,57.3,52,127,7,63.1,224,0,2024,11,9,0,5,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
82.9633,-154.5274,319,22.0,53.5,28,360,4,69.8,171,1,2024,1,9,23,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
-25.2768,156.1262,234,29.7,63.6,13,406,10,85.5,238,0,2024,2,2,22,4,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False
-65.526,-3.0202,154,21.5,74.2,38,215,3,84.4,114,0,2024,2,17,21,5,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True
-26.1836,-30.3641,348,27.3,71.6,30,211,2,96.4,115,0,2024,3,4,6,0,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True
2.6709,-80.8879,163,25.1,76.8,54,320,5,93.2,231,1,2024,8,28,12,2,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True
-22.4793,-54.5143,130,23.7,68.1,45,487,4,84.1,256,1,2024,1,4,22,3,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
-34.5353,-40.8617,391,21.6,72.5,58,298,7,61.5,170,1,2024,10,30,17,2,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
-8.7105,-17.8347,344,21.4,53.5,23,461,9,93.4,106,1,2024,7,15,15,0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True
14.6629,116.0696,409,27.5,66.6,29,492,3,72.6,204,1,2024,1,19,6,4,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
75.7743,108.9425,457,25.5,75.9,21,315,3,83.4,248,0,2024,4,28,21,6,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
50.3419,108.5647,207,29.3,59.4,31,174,5,65.9,195,0,2024,3,6,20,2,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False
-6.6729,132.6727,155,19.4,53.2,20,152,1,99.3,235,1,2024,11,20,16,2,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False
-74.1751,-102.7331,314,19.9,64.8,57,396,10,78.6,135,0,2024,1,7,9,6,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True
-33.2264,169.6187,156,27.2,74.4,35,354,2,63.1,282,0,2024,9,25,15,2,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
-34.4469,93.1585,119,28.1,72.4,41,176,2,60.9,238,0,2024,2,11,13,6,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True
-13.511,141.8454,112,19.7,76.6,22,121,3,80.9,262,0,2024,11,20,11,2,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False
-22.427,108.2306,435,25.8,78.6,22,220,7,90.8,101,1,2024,6,25,2,1,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False
43.3353,-12.0683,422,20.0,62.9,14,184,9,64.0,248,1,2024,6,25,0,1,False,False,False,False,False,False,False,False,True,True,False,False,True,True,False
-66.7517,161.45,353,20.5,52.0,26,392,7,76.4,155,1,2024,5,2,2,3,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False
